epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
48,1695.9,1.10097,0.14453,0.10608,0.69905,1.17596,1,0.91516,0.93702,0.54131,0.994,0.96,0.98625,0.94119,1.72854,0.23916,0.0398,0.88917,1.79819,0.0010694,0.0010694,0.0010694
49,1729.22,1.09057,0.16164,0.11035,0.68868,1.1696,0.98503,0.92,0.93495,0.49357,0.99483,0.96,0.9853,0.92924,1.70765,0.23563,0.05344,0.81125,1.70488,0.0010496,0.0010496,0.0010496
50,1762.44,1.07502,0.1494,0.09869,0.66119,1.15333,0.98824,0.88,0.95076,0.49127,0.94209,0.96,0.98513,0.95016,1.63345,0.19384,0.03148,0.86103,1.70238,0.0010298,0.0010298,0.0010298
51,1797.84,1.07398,0.15657,0.09864,0.66599,1.15324,0.95017,0.88,0.90909,0.48764,0.99356,0.92,0.98907,0.95218,1.68319,0.17913,0.0402,0.78619,1.69467,0.00101,0.00101,0.00101
52,1831.57,1.06557,0.13627,0.09818,0.67431,1.16111,0.99351,0.92,0.94606,0.50803,0.99351,0.92,0.98504,0.95237,1.60302,0.19503,0.0316,0.7584,1.68476,0.0009902,0.0009902,0.0009902
53,1866.14,1.04888,0.16482,0.11511,0.66494,1.14594,0.96067,0.84,0.89437,0.45219,0.91672,1,0.98907,0.95171,1.7674,0.23884,0.02412,0.83682,1.78789,0.0009704,0.0009704,0.0009704
54,1898.79,1.03581,0.14654,0.10404,0.65332,1.13869,0.99512,0.92,0.92958,0.52585,0.99512,0.92,0.98641,0.95454,1.6264,0.21107,0.05828,0.68269,1.61296,0.0009506,0.0009506,0.0009506
55,1932.36,1.04001,0.13721,0.10551,0.65036,1.1447,0.95126,0.88,0.90009,0.51308,1,0.95135,0.98833,0.95406,1.69066,0.18853,0.01942,0.71411,1.70804,0.0009308,0.0009308,0.0009308
56,1966.31,1.01591,0.14526,0.09643,0.63593,1.13116,0.94861,0.88,0.93128,0.52317,0.9572,0.96,0.98911,0.96164,1.62185,0.18113,0.02603,0.78263,1.62493,0.000911,0.000911,0.000911
57,1999.21,1.01535,0.14602,0.10945,0.64322,1.12535,0.94838,0.92,0.92713,0.47423,1,0.9052,0.97959,0.95502,1.72841,0.20225,0.0638,0.7758,1.77476,0.0008912,0.0008912,0.0008912
58,2033.24,1.00471,0.1293,0.08838,0.62871,1.11558,0.95592,0.86782,0.89184,0.46793,0.95867,0.92801,0.9837,0.9383,1.7608,0.23749,0.03177,0.791,1.86163,0.0008714,0.0008714,0.0008714
59,2066.1,0.97348,0.14248,0.09294,0.62727,1.11575,0.93581,0.8,0.89126,0.51738,0.98314,0.84,0.96768,0.94693,1.63018,0.19685,0.0382,0.75663,1.65734,0.0008516,0.0008516,0.0008516
60,2098.98,0.97059,0.14005,0.09492,0.62031,1.1067,0.95104,0.88,0.90014,0.51227,0.99427,0.92,0.97833,0.95179,1.72458,0.20196,0.03424,0.73063,1.78102,0.0008318,0.0008318,0.0008318
61,2133.69,0.97895,0.13734,0.09344,0.6283,1.11986,0.99356,0.96,0.963,0.53294,0.99356,0.96,0.99204,0.97553,1.66304,0.14278,0.01404,0.70164,1.72396,0.000812,0.000812,0.000812
62,2167.43,0.95882,0.1314,0.09359,0.60521,1.10337,1,0.95773,0.96553,0.55624,1,0.95773,0.99204,0.96957,1.591,0.14696,0.01611,0.66251,1.70733,0.0007922,0.0007922,0.0007922
